"title","video_link","img_link","play_time","hits","updated_time"
https://i.ytimg.com/vi/dQO7Qf8uUVw/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDeiLQ84DG8wvrasH5HFAUuxmZ45g,5일 전,Charlotte Hornets' Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=dQO7Qf8uUVw,37907,2:16
https://i.ytimg.com/vi/fRNnNUDN6i0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBbayFJ4pesqyWTelbQajLhKFXjDQ,5일 전,Top 5 Plays of the Day: NBA Africa Game 2017,https://www.youtube.com/watch?v=fRNnNUDN6i0,45098,0:50
https://i.ytimg.com/vi/o-CDN8zC4As/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLASOV3g-xYzeuMkVxgaHndIJljoWQ,5일 전,Best of Team Africa From NBA Africa Game 2017,https://www.youtube.com/watch?v=o-CDN8zC4As,21027,4:02
https://i.ytimg.com/vi/-E2vD1DWO1A/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCGbzRBKYLUwYzk1ZcEHul6YP7zuQ,5일 전,Best of Team World from NBA Africa Game 2017,https://www.youtube.com/watch?v=-E2vD1DWO1A,27895,4:16
https://i.ytimg.com/vi/j9xafW3fFCY/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDDj6VOYDyGjBpyUpRLM9OMGywxpA,5일 전,NBA Africa Game 2017 Charity Moment,https://www.youtube.com/watch?v=j9xafW3fFCY,12614,7:34
https://i.ytimg.com/vi/-WMU4m_XMh4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDR8MZer2eaTbwxYgU0ffuyap9CKA,5일 전,NBA Africa MVP Victor Oladipo Postgame Interview with Chiney Ogwumike,https://www.youtube.com/watch?v=-WMU4m_XMh4,13025,1:22
https://i.ytimg.com/vi/bMsc058Z3pU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBL20UaWucQoJhEt-d_eQghL1LBFg,5일 전,Best of NBA Africa Game 2017 MVP Victor Oladipo,https://www.youtube.com/watch?v=bMsc058Z3pU,15539,2:35
https://i.ytimg.com/vi/y7pcbTbocnc/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLC5vgqCXA0D5-vqHOrZhPeKN2c1zg,5일 전,"Full Highlights: Team World vs Team Africa, NBA Africa Game 2017",https://www.youtube.com/watch?v=y7pcbTbocnc,239851,11:01
https://i.ytimg.com/vi/zwVtET5UD5w/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBGysIOu9SJT9JYWCHW8vcQnXQLNQ,5일 전,NBA Africa Game 2017: Team World and Team Africa Introductions,https://www.youtube.com/watch?v=zwVtET5UD5w,51663,4:38
https://i.ytimg.com/vi/WK571z8w6CM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAp0ArgBS2lH52dBIil7zPbrbWVHQ,5일 전,Oladipo and Mudiay Visit Brammfontein,https://www.youtube.com/watch?v=WK571z8w6CM,6215,1:52
https://i.ytimg.com/vi/D7rDk9ykCmk/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCa5RmrOhpbQonhcoe6RIh5RuGurQ,5일 전,All-Access: SOS Children’s Village,https://www.youtube.com/watch?v=D7rDk9ykCmk,6709,1:59
https://i.ytimg.com/vi/LuY1NzSZKE8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAaT2bRNavQPze0HM-thSyf2R-Z1Q,5일 전,Team World and Team Africa Get in Work!,https://www.youtube.com/watch?v=LuY1NzSZKE8,6221,1:06
https://i.ytimg.com/vi/dswXIW2rRuI/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB-p-k2gMk1JcjBLty3LpHMhi24AA,5일 전,Habitat for Humanity in South Africa,https://www.youtube.com/watch?v=dswXIW2rRuI,3899,1:44
