hits,updated_time,play_time,img_link,title,video_link
21431,1 week ago,1:43,https://i.ytimg.com/vi/6THDdQcNerM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBMAQ2K4bz1QZM92EQ7ouKxsiB5yw,BWB Europe All Access: Israel,https://www.youtube.com/watch?v=6THDdQcNerM
11240,1 week ago,0:58,https://i.ytimg.com/vi/XZNHcHfPrGQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA_ZkYdmecYqcZdGf3c8Pc6q8VxIw,Remembering Tommy Hawkins,https://www.youtube.com/watch?v=XZNHcHfPrGQ
260932,1 week ago,23:11,https://i.ytimg.com/vi/sO56CyHI5ek/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLC4I95EedHP-MRkoXR76_H8ljH-eQ,LeBron James BEST PLAY EVERY GAME | 2016-2017 Season,https://www.youtube.com/watch?v=sO56CyHI5ek
86024,1 week ago,2:28,https://i.ytimg.com/vi/M5lGZdBO2tU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDoP915I5wYidi5STUA65f2oPSq1Q,Andrew Wiggins' Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=M5lGZdBO2tU
124670,1 week ago,2:26,https://i.ytimg.com/vi/E4aCgUxBreA/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD6Kkzop1yi7Jj001mQglvLkm2vjg,John Wall's Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=E4aCgUxBreA
410590,1 week ago,22:23,https://i.ytimg.com/vi/xTJcASRxbfI/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA2-AkQW85xMHkj4jL6YYMMhOzOAA,Stephen Curry BEST PLAY EVERY GAME | 2016-2017 Season,https://www.youtube.com/watch?v=xTJcASRxbfI
122496,1 week ago,2:35,https://i.ytimg.com/vi/LcGlkBO7wWY/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAZM8FrqLjpobKRe7cNOBTjZLsXsQ,James Harden's Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=LcGlkBO7wWY
85760,1 week ago,2:08,https://i.ytimg.com/vi/2jnAMkqtTF0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAtRUjB3JnBfQZ_JkDy1TysjRfL8g,Anthony Davis' Top 10 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=2jnAMkqtTF0
215124,1 week ago,2:30,https://i.ytimg.com/vi/BgPinqi2jwU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD77LpN7diO49miiv-cMIlAG_DkkA,Top 10 Ball Fakes: 2017 NBA Season,https://www.youtube.com/watch?v=BgPinqi2jwU
117252,1 week ago,2:28,https://i.ytimg.com/vi/Fd8rWIFlQ1o/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDWHEJ-BHX-Yfi9vTY58m7SZtBMuA,Top 10 360 Plays: 2017 NBA Season,https://www.youtube.com/watch?v=Fd8rWIFlQ1o
200933,1 week ago,21:21,https://i.ytimg.com/vi/eaGNarhkRsQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDv4QLg8N9bs6mlYs2NpndZKwZ46Q,Russell Westbrook BEST PLAY EVERY GAME | MVP Season 2016-2017,https://www.youtube.com/watch?v=eaGNarhkRsQ
65953,1 week ago,1:35,https://i.ytimg.com/vi/1QxI6IeGrzQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLABdpzDnj_XSD0CBhFqJvWBqdGLlw,All-Access: 2017 NBA Rookie Photo Shoot,https://www.youtube.com/watch?v=1QxI6IeGrzQ
124115,2 weeks ago,3:51,https://i.ytimg.com/vi/Pd7AsnmDk0w/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAaia9v3XhuA0tYdH8Q2rantldiKw,"Lonzo Ball, Markelle Fultz and the 2017 Rookie Class Show Off Nike's New Uniforms",https://www.youtube.com/watch?v=Pd7AsnmDk0w
