video_link,title,play_time,img_link,hits,updated_time
https://www.youtube.com/watch?v=dH88AXAlzmg,Kawhi Leonard's NBA Cares Guest Appearance In China!,0:31,https://i.ytimg.com/vi/dH88AXAlzmg/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDcCx3YDymnAUwvqA0WetjmnW3JpA,28852,1 week ago
https://www.youtube.com/watch?v=M_K4IU7t5ok,Top 50 Impossible Shots of the 2017 NBA Season,11:13,https://i.ytimg.com/vi/M_K4IU7t5ok/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAUZ8NxpjCRRdCjVrUgIVmVI6ewKg,777013,1 week ago
https://www.youtube.com/watch?v=FkIu5LQOsB8,Giannis Antetokounmpo BEST PLAY from EVERY GAME | 2016-2017 Season,24:52,https://i.ytimg.com/vi/FkIu5LQOsB8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB8q0tri4sg6ODPW4RYL0HB8T_Zlg,153869,1 week ago
https://www.youtube.com/watch?v=SQydYJkBGt8,Kevin Durant's Top 10 Plays of the 2016-2017 NBA Season,2:37,https://i.ytimg.com/vi/SQydYJkBGt8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAKaMnl-M6ypMdm18LJJfOCn3L7Nw,74067,1 week ago
https://www.youtube.com/watch?v=brlyHDHnzaM,Devin Booker's Top 10 Plays of the 2016-2017 NBA Season,2:58,https://i.ytimg.com/vi/brlyHDHnzaM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD8CzZhsQ24NOnF73KD3ubbl4TImw,86258,1 week ago
https://www.youtube.com/watch?v=6THDdQcNerM,BWB Europe All Access: Israel,1:43,https://i.ytimg.com/vi/6THDdQcNerM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBMAQ2K4bz1QZM92EQ7ouKxsiB5yw,21770,1 week ago
https://www.youtube.com/watch?v=XZNHcHfPrGQ,Remembering Tommy Hawkins,0:58,https://i.ytimg.com/vi/XZNHcHfPrGQ/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA_ZkYdmecYqcZdGf3c8Pc6q8VxIw,11440,1 week ago
https://www.youtube.com/watch?v=sO56CyHI5ek,LeBron James BEST PLAY EVERY GAME | 2016-2017 Season,23:11,https://i.ytimg.com/vi/sO56CyHI5ek/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLC4I95EedHP-MRkoXR76_H8ljH-eQ,274415,2 weeks ago
https://www.youtube.com/watch?v=M5lGZdBO2tU,Andrew Wiggins' Top 10 Plays of the 2016-2017 NBA Season,2:28,https://i.ytimg.com/vi/M5lGZdBO2tU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDoP915I5wYidi5STUA65f2oPSq1Q,87259,2 weeks ago
https://www.youtube.com/watch?v=E4aCgUxBreA,John Wall's Top 10 Plays of the 2016-2017 NBA Season,2:26,https://i.ytimg.com/vi/E4aCgUxBreA/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLD6Kkzop1yi7Jj001mQglvLkm2vjg,125695,2 weeks ago
https://www.youtube.com/watch?v=xTJcASRxbfI,Stephen Curry BEST PLAY EVERY GAME | 2016-2017 Season,22:23,https://i.ytimg.com/vi/xTJcASRxbfI/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLA2-AkQW85xMHkj4jL6YYMMhOzOAA,460270,2 weeks ago
https://www.youtube.com/watch?v=LcGlkBO7wWY,James Harden's Top 10 Plays of the 2016-2017 NBA Season,2:35,https://i.ytimg.com/vi/LcGlkBO7wWY/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAZM8FrqLjpobKRe7cNOBTjZLsXsQ,123628,2 weeks ago
https://www.youtube.com/watch?v=2jnAMkqtTF0,Anthony Davis' Top 10 Plays of the 2016-2017 NBA Season,2:08,https://i.ytimg.com/vi/2jnAMkqtTF0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAtRUjB3JnBfQZ_JkDy1TysjRfL8g,87215,2 weeks ago
