play_time,hits,updated_time,title,img_link,video_link
2:16,37907,5일 전,Charlotte Hornets' Top 10 Plays of the 2016-2017 NBA Season,https://i.ytimg.com/vi/dQO7Qf8uUVw/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDeiLQ84DG8wvrasH5HFAUuxmZ45g,https://www.youtube.com/watch?v=dQO7Qf8uUVw
0:50,45098,5일 전,Top 5 Plays of the Day: NBA Africa Game 2017,https://i.ytimg.com/vi/fRNnNUDN6i0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBbayFJ4pesqyWTelbQajLhKFXjDQ,https://www.youtube.com/watch?v=fRNnNUDN6i0
4:02,21027,5일 전,Best of Team Africa From NBA Africa Game 2017,https://i.ytimg.com/vi/o-CDN8zC4As/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLASOV3g-xYzeuMkVxgaHndIJljoWQ,https://www.youtube.com/watch?v=o-CDN8zC4As
4:16,27895,5일 전,Best of Team World from NBA Africa Game 2017,https://i.ytimg.com/vi/-E2vD1DWO1A/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCGbzRBKYLUwYzk1ZcEHul6YP7zuQ,https://www.youtube.com/watch?v=-E2vD1DWO1A
7:34,12616,5일 전,NBA Africa Game 2017 Charity Moment,https://i.ytimg.com/vi/j9xafW3fFCY/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDDj6VOYDyGjBpyUpRLM9OMGywxpA,https://www.youtube.com/watch?v=j9xafW3fFCY
1:22,13025,5일 전,NBA Africa MVP Victor Oladipo Postgame Interview with Chiney Ogwumike,https://i.ytimg.com/vi/-WMU4m_XMh4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDR8MZer2eaTbwxYgU0ffuyap9CKA,https://www.youtube.com/watch?v=-WMU4m_XMh4
2:35,15539,5일 전,Best of NBA Africa Game 2017 MVP Victor Oladipo,https://i.ytimg.com/vi/bMsc058Z3pU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBL20UaWucQoJhEt-d_eQghL1LBFg,https://www.youtube.com/watch?v=bMsc058Z3pU
11:01,239849,5일 전,"Full Highlights: Team World vs Team Africa, NBA Africa Game 2017",https://i.ytimg.com/vi/y7pcbTbocnc/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLC5vgqCXA0D5-vqHOrZhPeKN2c1zg,https://www.youtube.com/watch?v=y7pcbTbocnc
4:38,51663,5일 전,NBA Africa Game 2017: Team World and Team Africa Introductions,https://i.ytimg.com/vi/zwVtET5UD5w/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBGysIOu9SJT9JYWCHW8vcQnXQLNQ,https://www.youtube.com/watch?v=zwVtET5UD5w
1:52,6215,5일 전,Oladipo and Mudiay Visit Brammfontein,https://i.ytimg.com/vi/WK571z8w6CM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAp0ArgBS2lH52dBIil7zPbrbWVHQ,https://www.youtube.com/watch?v=WK571z8w6CM
1:59,6709,5일 전,All-Access: SOS Children’s Village,https://i.ytimg.com/vi/D7rDk9ykCmk/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCa5RmrOhpbQonhcoe6RIh5RuGurQ,https://www.youtube.com/watch?v=D7rDk9ykCmk
1:06,6221,5일 전,Team World and Team Africa Get in Work!,https://i.ytimg.com/vi/LuY1NzSZKE8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAaT2bRNavQPze0HM-thSyf2R-Z1Q,https://www.youtube.com/watch?v=LuY1NzSZKE8
1:44,3899,5일 전,Habitat for Humanity in South Africa,https://i.ytimg.com/vi/dswXIW2rRuI/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLB-p-k2gMk1JcjBLty3LpHMhi24AA,https://www.youtube.com/watch?v=dswXIW2rRuI
