updated_time,play_time,video_link,title,hits,img_link
3일 전,3:22,https://www.youtube.com/watch?v=yM0VqUAcxyo,New York Knicks' Top 10 Plays of the 2016-2017 NBA Season,101841,https://i.ytimg.com/vi/yM0VqUAcxyo/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDodUwjsNZI64jJiq51jR_uqLOC2A
4일 전,2:27,https://www.youtube.com/watch?v=rWGH9k9-rl8,All-Access: NBA Africa Game 2017,23190,https://i.ytimg.com/vi/rWGH9k9-rl8/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDKiXcLsHzeRahogjrKEcBM1_Xopw
5일 전,2:16,https://www.youtube.com/watch?v=dQO7Qf8uUVw,Charlotte Hornets' Top 10 Plays of the 2016-2017 NBA Season,38031,https://i.ytimg.com/vi/dQO7Qf8uUVw/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDeiLQ84DG8wvrasH5HFAUuxmZ45g
5일 전,0:50,https://www.youtube.com/watch?v=fRNnNUDN6i0,Top 5 Plays of the Day: NBA Africa Game 2017,45139,https://i.ytimg.com/vi/fRNnNUDN6i0/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBbayFJ4pesqyWTelbQajLhKFXjDQ
5일 전,4:02,https://www.youtube.com/watch?v=o-CDN8zC4As,Best of Team Africa From NBA Africa Game 2017,21045,https://i.ytimg.com/vi/o-CDN8zC4As/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLASOV3g-xYzeuMkVxgaHndIJljoWQ
5일 전,4:16,https://www.youtube.com/watch?v=-E2vD1DWO1A,Best of Team World from NBA Africa Game 2017,27926,https://i.ytimg.com/vi/-E2vD1DWO1A/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCGbzRBKYLUwYzk1ZcEHul6YP7zuQ
5일 전,7:34,https://www.youtube.com/watch?v=j9xafW3fFCY,NBA Africa Game 2017 Charity Moment,12634,https://i.ytimg.com/vi/j9xafW3fFCY/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDDj6VOYDyGjBpyUpRLM9OMGywxpA
5일 전,1:22,https://www.youtube.com/watch?v=-WMU4m_XMh4,NBA Africa MVP Victor Oladipo Postgame Interview with Chiney Ogwumike,13041,https://i.ytimg.com/vi/-WMU4m_XMh4/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLDR8MZer2eaTbwxYgU0ffuyap9CKA
5일 전,2:35,https://www.youtube.com/watch?v=bMsc058Z3pU,Best of NBA Africa Game 2017 MVP Victor Oladipo,15557,https://i.ytimg.com/vi/bMsc058Z3pU/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBL20UaWucQoJhEt-d_eQghL1LBFg
5일 전,11:01,https://www.youtube.com/watch?v=y7pcbTbocnc,"Full Highlights: Team World vs Team Africa, NBA Africa Game 2017",241862,https://i.ytimg.com/vi/y7pcbTbocnc/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLC5vgqCXA0D5-vqHOrZhPeKN2c1zg
5일 전,4:38,https://www.youtube.com/watch?v=zwVtET5UD5w,NBA Africa Game 2017: Team World and Team Africa Introductions,51763,https://i.ytimg.com/vi/zwVtET5UD5w/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBGysIOu9SJT9JYWCHW8vcQnXQLNQ
5일 전,1:52,https://www.youtube.com/watch?v=WK571z8w6CM,Oladipo and Mudiay Visit Brammfontein,6230,https://i.ytimg.com/vi/WK571z8w6CM/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLAp0ArgBS2lH52dBIil7zPbrbWVHQ
5일 전,1:59,https://www.youtube.com/watch?v=D7rDk9ykCmk,All-Access: SOS Children’s Village,6722,https://i.ytimg.com/vi/D7rDk9ykCmk/hqdefault.jpg?sqp=-oaymwEWCMQBEG5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLCa5RmrOhpbQonhcoe6RIh5RuGurQ
